x	"Benchmark"	"GMW"	"GMW (Vectorized)"	"BMR"	"BMR (Vectorized)"	"GMW Improvement"	"BMR Improvement"
1	"Biometric Matching"	1784467	34178	1594515	30078	52.210983673708235	53.012667065629365
2	"Convex Hull"	551364	1527	494468	1485	361.07662082514736	332.9750841750842
3	"Count 102"	417800	315514	269320	167034	1.3241884670727764	1.6123663445765533
4	"Count 10s"	418823	315514	270343	167034	1.3274307954639097	1.6184908461750303
5	"Cryptonets (Max Pooling)"	688132	6847	608260	6769	100.50124141959982	89.8596543063968
6	"Database Join"	433286	319690	457862	319698	1.3553317276111232	1.4321703607779843
7	"Database Variance"	2008503	320682	1707689	169591	6.26322338017101	10.069455336662912
8	"Histogram"	862210	166447	491010	92207	5.1800873551340665	5.325083778888804
9	"Inner Product"	1674755	158112	1525763	82704	10.592206790123457	18.44847891274908
10	"k-means"	1333186	46865	1140996	31798	28.447370105622532	35.882634127932576
11	"Longest 102"	650248	543875	475144	368771	1.1955835440128706	1.2884527254041125
12	"Max. Dist. b/w Symbols"	572421	537648	397317	362544	1.0646761449870548	1.095913875281345
13	"Minimal Points"	458018	961	400802	909	476.6056191467222	440.92629262926295
14	"MNIST ReLU"	1843203	24814	1630211	24788	74.28076892077053	65.76613684040665
15	"Private Set Intersection"	557700	1461	590724	1719	381.72484599589325	343.64397905759165
